taxid,abbreviation,organism_name,genome,introns,bp_CDS,intron_density
56484,Plac,Protomyces lactucaedebilis,Protomyces_lactucaedebilis,198,700637,0.2825999769
58627,Dfab,Debaryomyces fabryi,Debaryomyces_fabryi.debFab1.0,6,964374,0.006221652595
58919,Twas,Tilletiopsis washingtonensis,Tilletiopsis_washingtonensis,2488,994449,2.50188798
60172,Psol,Penicillium solitum,Penicillium_solitum.ASM95277v1,580,1018560,0.5694313541
72032,Tpun,Thielaviopsis punctulata,Thielaviopsis_punctulata.ASM96861v1,399,992986,0.4018183539
72359,Thom,Trachipleistophora hominis,Trachipleistophora_hominis.ASM31613v1,0,131809,0
76773,Mglo,Malassezia globosa,Malassezia_globosa,152,803176,0.1892486827
77020,Mpac,Malassezia pachydermatis,Malassezia_pachydermatis.MalaPachy,313,893680,0.3502372214
77044,Rnec,Rosellinia necatrix,Rosellinia_necatrix.ASM144559v1,553,801708,0.6897773254
78410,Ndit,Neonectria ditissima,Neonectria_ditissima.R0905_v2.0,471,1063682,0.442801514
80884,Chig,Colletotrichum higginsianum,Colletotrichum_higginsianum.GCA_000313795.2,471,903549,0.5212777614
84746,Mend,Melanotaenium endogenum,Melanotaenium_endogenum,697,984968,0.7076372024
84753,Mant,Moesziomyces antarcticus,Moesziomyces_antarcticus.ASM74776v1,69,849445,0.08122950868
88771,Cpla,Ceratocystis platani,Ceratocystis_platani.ASM97888v1,435,891589,0.4878929641
91928,Espi,Exophiala spinifera,Exophiala_spinifera.Exop_spin_CBS89968_V1,363,1037855,0.3497598412
98403,Dcon,Drechmeria coniospora,Drechmeria_coniospora.ASM162519v1,484,1048906,0.4614331503
100787,Vlon,Verticillium longisporum,Verticillium_longisporum_gca_001268165.vl2.denovo.v1,573,975612,0.5873236492
113226,Pmus,Pseudocercospora musae,Pseudocercospora_musae.ASM157822v1,289,980249,0.2948230501
120017,Uhor,Ustilago hordei,Ustilago_hordei.ASM28603v1,97,1139315,0.08513887731
146866,Pneu,Pseudoloma neurophilia,Pseudoloma_neurophilia.ASM143216v1,0,104257,0
158046,Pchl,Phaeomoniella chlamydospora,Phaeomoniella_chlamydospora.UCRPA7V1.0,371,1002381,0.3701187473
183478,Slyv,Stemphylium lycopersici,Stemphylium_lycopersici.ASM119154v1,515,1152883,0.4467062139
212818,Emes,Exophiala mesophila,Exophiala_mesophila.Exop_meso_CBS40295_V1,349,1037914,0.3362513657
215250,Aing,Acaromyces ingoldii,Acaromyces_ingoldii,1012,999782,1.012220664
221103,Mror,Moniliophthora roreri,Moniliophthora_roreri.ASM146670v1,3133,1028880,3.045058705
226230,Skud,Saccharomyces kudriavzevii IFO 1802,Saccharomyces_kudriavzevii_ifo_1802.Saccharomyces_kudriavzevii_strain_IFO1802_v1.0,0,472270,0
227321,Anid,Aspergillus nidulans FGSC A4,Aspergillus_nidulans.ASM1142v1,634,998893,0.6347026158
229535,Pnor,Penicillium nordicum,Penicillium_nordicum.ASM127859v1,593,1016679,0.5832716128
235443,Cneo,Cryptococcus neoformans var. grubii H99,Cryptococcus_neoformans_var_grubii_h99.CNA3,3434,1045239,3.28537301
237561,Calb,Candida albicans SC5314,Candida_albicans_sc5314.ASM18296v2,0,949178,0
237631,Umay,Ustilago maydis 521,Ustilago_maydis.Umaydis521_2.0,74,1129349,0.06552447472
240176,Ccin,Coprinopsis cinerea okayama7#130,Coprinopsis_cinerea_okayama7_130.CC3,3034,1019314,2.976511654
242507,Pory,Pyricularia oryzae 70-15,Magnaporthe_oryzae.MG8,506,1040423,0.4863406518
246409,Rdel,Rhizopus delemar RA 99-880,Rhizopus_delemar_ra_99_880.RO3,1696,795798,2.131194097
253628,Vgall,Verruconis gallopava,Verruconis_gallopava.O_gall_CBS43764,668,1031920,0.6473370029
268505,Ouni,Ophiocordyceps unilateralis,Ophiocordyceps_unilateralis.ASM127257v1,474,1042254,0.4547835748
273371,Corth,Candida orthopsilosis,Candida_orthopsilosis_co_90_125.ASM31587v1,4,973003,0.004110984242
284591,Ylip,Yarrowia lipolytica CLIB122,Yarrowia_lipolytica.GCA_000002525.1,34,954393,0.0356247374
284592,Dhan,Debaryomyces hansenii CBS767,Debaryomyces_hansenii_cbs767.ASM644v2,6,986826,0.006080099227
284813,Ecun,Encephalitozoon cuniculi GB-M1,Encephalitozoon_cuniculi_gb_m1.ASM9122v1,0,206039,0
293939,Alen,Aspergillus lentulus,Aspergillus_lentulus.Alt_assembly01,641,1042397,0.6149288611
294746,Meygui,Meyerozyma guilliermondii ATCC 6260,Meyerozyma_guilliermondii_atcc_6260.ASM14942v1,0,918536,0
294747,Ctro,Candida tropicalis MYA-3404,Candida_tropicalis_mya_3404.ASM633v2,0,931566,0
306901,Cglo,Chaetomium globosum CBS 148.51,Chaetomium_globosum_cbs_148_51.ASM14336v1,572,986408,0.5798817528
306902,Clus,Clavispora lusitaniae ATCC 42720,Clavispora_lusitaniae_atcc_42720.ASM383v1,1,909295,0.001099753105
308745,Aram,Aspergillus rambellii,Aspergillus_rambellii.ASM98664v1,659,1039914,0.6337062488
321146,Peum,Pseudocercospora eumusae,Mycosphaerella_eumusae.ASM157823v1,308,1024998,0.3004883912
321614,Pnod,Parastagonospora nodorum SN15,Phaeosphaeria_nodorum.ASM14691v1,536,994072,0.539196356
322104,Ssti,Scheffersomyces stipitis CBS 6054,Scheffersomyces_stipitis_cbs_6054.ASM20916v1,39,940864,0.04145126182
331117,Afis,Aspergillus fischeri NRRL 181,Neosartorya_fischeri.CADRE,636,997454,0.6376233891
332952,Afla,Aspergillus flavus NRRL3357,Aspergillus_flavus.JCVI-afl1-v2.0,614,955892,0.6423319789
334819,Fver,Fusarium verticillioides 7600,Fusarium_verticillioides.ASM14955v1,451,964935,0.4673889951
336722,Ztri,Zymoseptoria tritici IPO323,Zymoseptoria_tritici.MG2,365,963554,0.3788059621
336963,Uree,Uncinocarpus reesii 1704,Uncinocarpus_reesii_1704.ASM351v2,619,987248,0.6269954459
341663,Aterr,Aspergillus terreus NIH2624,Aspergillus_terreus.CADRE,630,1020600,0.6172839506
344612,Acla,Aspergillus clavatus NRRL 1,Aspergillus_clavatus.CADRE,653,1010518,0.6462032344
348802,Exen,Exophiala xenobiotica,Exophiala_xenobiotica.Exop_xeno_CBS118157_V1,380,1039938,0.3654063992
367110,Ncra,Neurospora crassa OR74A,Neurospora_crassa.NC12,436,1060047,0.4113025177
379508,Lelo,Lodderomyces elongisporus NRRL YB-4239,Lodderomyces_elongisporus_nrrl_yb_4239.ASM14968v1,1,953415,0.001048861199
383855,Pfij,Pseudocercospora fijiensis CIRAD86,Pseudocercospora_fijiensis_cirad86.Mycfi2,351,985409,0.3561972744
398673,Tgam,Trichoderma gamsii,Trichoderma_gamsii.ASM148177v1,485,1020238,0.4753792742
401625,Cbom,Ceraceosorus bombacis,Ceraceosorus_bombacis.Ceraceosorus_bombacis,1982,1024756,1.934118951
402676,Sjap,Schizosaccharomyces japonicus yFS275,Schizosaccharomyces_japonicus.GCA_000149845.2,319,841584,0.3790471302
413071,Tvir,Trichoderma virens Gv29-8,Trichoderma_virens.ASM17099v1,497,1014465,0.4899134026
420778,Dser,Diplodia seriata,Diplodia_seriata.UCDDS831v0.1,643,900716,0.713876516
425011,Anig,Aspergillus niger CBS 513.88,Aspergillus_niger.ASM285v2,626,976308,0.6411910995
426418,Pytri,Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora_triticirepentis.GCA_000149985.1,576,1000209,0.5758796412
436907,Vpol,Vanderwaltozyma polyspora DSM 70294,Vanderwaltozyma_polyspora_dsm_70294.ASM15003v1,2,877752,0.002278547927
441959,Tsti,Talaromyces stipitatus ATCC 10500,Talaromyces_stipitatus_atcc_10500.JCVI-TSTA1-3.0,709,1049341,0.6756621537
447095,Bder,Blastomyces dermatitidis ATCC 26199,Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2,679,1050554,0.6463256529
454130,Acal,Aspergillus calidoustus,Aspergillus_calidoustus.Acal_Allpaths_LG,621,1003818,0.61863804
454284,Cpos,Coccidioides posadasii RMSCC 3488,Coccidioides_posadasii_rmscc_3488.ASM15005v1,696,1002435,0.6943093567
454286,Coimm,Coccidioides immitis RMSCC 3703,Coccidioides_immitis_rmscc_3703.ASM15008v1,648,811921,0.798107205
481877,Ebie,Enterocytozoon bieneusi H348,Enterocytozoon_bieneusi_h348.ASM20948v1,0,109736,0
486041,Lbic,Laccaria bicolor S238N-H82,Laccaria_bicolor_s238n_h82.V1.0,3113,829722,3.751859056
498019,Caur,Candida auris,Candida_auris.ASM118947v1,0,884071,0
498257,Vdah,Verticillium dahliae VdLs.17,Verticillium_dahliae.ASM15067v2,507,998897,0.5075598385
515849,Pans,Podospora anserina S mat+,Podospora_anserina_s_mat_.ASM22654v1,448,1021663,0.4385007581
526221,Valf,Verticillium alfalfae VaMs.102,Verticillium_alfalfae_vams_102.ASM15082v1,517,873797,0.5916706054
544712,Hcap,Histoplasma capsulatum H143,Histoplasma_capsulatum_h143.ASM15103v1,611,921465,0.6630745606
546991,Bgra,Blumeria graminis f. sp. hordei DH14,Blumeria_graminis.EF1,507,969746,0.522817315
554155,Mcan,Microsporum canis CBS 113480,Arthroderma_otae_cbs_113480.ASM15114v1,626,1017830,0.6150339448
554373,Mper,Moniliophthora perniciosa FA553,Moniliophthora_perniciosa_fa553.ASM18302v1,730,173946,4.196704724
559292,Scer,Saccharomyces cerevisiae S288C,Saccharomyces_cerevisiae.R64-1-1,3,941822,0.003185315272
559295,Lthe,Lachancea thermotolerans CBS 6340,Lachancea_thermotolerans_cbs_6340.ASM14280v1,3,934571,0.003210028987
559304,Mfar,Millerozyma farinosa CBS 7064,Millerozyma_farinosa_cbs_7064.ASM31589v1,5,978963,0.005107445327
563466,Sapi,Scedosporium apiospermum,Scedosporium_apiospermum.ScApio1.0,530,949711,0.5580645059
573826,Cdub,Candida dubliniensis CD36,Candida_dubliniensis_cd36.ASM2694v1,4,981364,0.004075959583
578455,Tter,Thermothielavioides terrestris NRRL 8126,Thielavia_terrestris_nrrl_8126.ASM22611v1,608,1023229,0.5941973889
578458,Scom,Schizophyllum commune H4-8,Schizophyllum_commune_h4_8.v1.0,2997,917677,3.265854979
578461,Nbom,Nosema bombycis CQ1,Nosema_bombycis_cq1.NosBomCQ1_v1.0,7,114412,0.06118239346
578462,Amac,Allomyces macrogynus ATCC 38327,Allomyces_macrogynus_atcc_38327.A_macrogynus_V3,1163,830076,1.401076528
590646,Yten,Yamadazyma tenuis ATCC 10573,Candida_tenuis_atcc_10573.Candida_tenuis_v1_0,24,861898,0.02784552232
599839,Frad,Fibroporia radiculosa,Fibroporia_radiculosa.ASM31352v1,3174,1002612,3.16573111
619300,Spass,Spathaspora passalidarum NRRL Y-27907,Spathaspora_passalidarum_nrrl_y_27907.Spathaspora_passalidarum_v2_0,26,911979,0.0285094284
630390,Ptri,Puccinia triticina 1-1 BBBD Race 1,Puccinia_triticina.ASM15152v1,2406,892430,2.696009771
644223,Kpha,Komagataella phaffii GS115,Komagataella_pastoris.GCA_000027005.1,14,913578,0.01532436201
644352,Gtri,Gaeumannomyces tritici R3-111a-1,Gaeumannomyces_graminis.Gae_graminis_V2,485,1048327,0.4626419047
644358,Mpoa,Magnaporthiopsis poae ATCC 64411,Magnaporthe_poae.Mag_poae_ATCC_64411_V1,503,886053,0.5676861316
645134,Spun,Spizellomyces punctatus DAOM BR117,Spizellomyces_punctatus_daom_br117.S_punctatus_V1,3032,926670,3.271930677
647933,Tton,Trichophyton tonsurans CBS 112818,Trichophyton_tonsurans_cbs_112818.ASM15145v1,654,1000461,0.6536986449
650164,Pcar,Phanerochaete carnosa HHB-10118-sp,Phanerochaete_carnosa_hhb_10118_sp.Phanerochaete_carnosa_HHB-10118-Sp_v1_0,2860,926505,3.086869472
653667,Scry,Schizosaccharomyces cryophilus OY26,Schizosaccharomyces_cryophilus.GCA_000004155.2,321,852010,0.3767561414
655819,Bbass,Beauveria bassiana ARSEF 2860,Beauveria_bassiana_arsef_2860.ASM28067v1,375,1038892,0.3609614859
655863,Gcla,Grosmannia clavigera kw1407,Grosmannia_clavigera_kw1407.Sanger-454-IlluminaPA_2.0,463,1080149,0.4286445666
660122,Nhae,Nectria haematococca mpVI 77-13-4,Fusarium_solani.v2.0,475,1011399,0.4696464996
663202,Tver,Trichophyton verrucosum HKI 0517,Trichophyton_verrucosum_hki_0517.ASM15150v1,515,1009863,0.5099701643
663331,Tben,Trichophyton benhamiae CBS 112371,Arthroderma_benhamiae_cbs_112371.ASM15112v2,503,1009379,0.4983261986
664439,Pinv,Paxillus involutus ATCC 200175,Paxillus_involutus_atcc_200175.Paxillus_involutus_ATCC_200175_v1_0,1432,381608,3.752541875
665079,Sscl,Sclerotinia sclerotiorum 1980 UF-70,Sclerotinia_sclerotiorum.ASM14694v1,362,680778,0.5317445628
670483,Gtra,Gloeophyllum trabeum ATCC 11539,Gloeophyllum_trabeum_atcc_11539.Glotr1_1,3214,955979,3.361998538
671144,Wmel,Wallemia mellicola CBS 633.66,Wallemia_mellicola_cbs_633_66.Wallemia_sebi_v1_0,1404,825210,1.701385102
675120,Dsep,Dothistroma septosporum NZE10,Dothistroma_septosporum.GCA_000340195.1,334,1004813,0.332400158
675824,Lsta,Lipomyces starkeyi NRRL Y-11557,Lipomyces_starkeyi_nrrl_y_11557_gca_001661325.Lipst1_1,1077,911598,1.18144182
683840,Mlyc,Microbotryum lychnidis-dioicae p1A1 Lamole,Microbotryum_violaceum.GCA_000166175.1,2850,1076080,2.64850197
691883,Falb,Fonticula alba,Fonticula_alba_gca_000388065.Font_alba_ATCC_38817_V2,1304,572748,2.276743
692275,Smus,Sphaerulina musiva SO2202,Sphaerulina_musiva_so2202.Septoria_musiva_SO2202_v1_0,326,1013209,0.3217500042
698492,Scomp,Saitoella complicata NRRL Y-17804,Saitoella_complicata_nrrl_y_17804.Scomplicata_3.0,407,1072134,0.379616727
708197,Ctof,Colletotrichum tofieldiae,Colletotrichum_tofieldiae.Ct0861v1,452,1012078,0.446605894
717646,Bpan,Baudoinia panamericana UAMH 10762,Baudoinia_panamericana_uamh_10762.Bauco1,315,990639,0.3179765788
732165,Dsqu,Dichomitus squalens LYAD-421 SS1,Dichomitus_squalens_lyad_421_ss1.Dichomitus_squalens_v1_0,1378,455130,3.02770637
743788,Fpin,Fomitopsis pinicola FP-58527 SS1,Fomitopsis_pinicola_fp_58527_ss1.Fompi3,3194,990978,3.223078615
745531,Pgig,Phlebiopsis gigantea 11061_1 CR5-6,Phlebiopsis_gigantea_11061_1_cr5_6.Phlgi1,3177,951426,3.339198214
747089,Rirr,Rhizophagus irregularis DAOM 181602=DAOM 197198,Rhizophagus_irregularis_daom_181602.Gloin1,2867,755579,3.794441084
747525,Hirr,Heterobasidion irregulare TC 32-1,Heterobasidion_irregulare_tc_32_1.Heterobasidion_irregulare_v2_0,3293,952942,3.455614298
747676,Mlar,Melampsora larici-populina 98AG31,Melampsora_laricipopulina.GCA_000204055.1,2923,879098,3.324999033
756982,Aoli,Arthrobotrys oligospora ATCC 24927,Arthrobotrys_oligospora_atcc_24927.AOL24927_1_0,1267,1024860,1.236266417
759272,Cthe,Chaetomium thermophilum var. thermophilum DSM 1495,Chaetomium_thermophilum_var_thermophilum_dsm_1495.CTHT_3.0,525,1052046,0.4990276091
764103,Mosm,Mixia osmundae IAM 14324,Mixia_osmundae_iam_14324_gca_000708205.Mixia_osmundae_v1_0,2220,1052488,2.109287707
765440,Pcro,Piloderma croceum F 1598,Piloderma_croceum_f_1598.Piloderma_croceum_F_1598_v1_0,3377,974535,3.465242398
766039,Aric,Acidomyces richmondensis BFW,Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1_0,297,1001874,0.2964444631
796925,Ccor,Conidiobolus coronatus NRRL 28638,Conidiobolus_coronatus_nrrl_28638.Conidiobolus_coronatus_NRRL28638,1157,695804,1.662824589
861557,Pter,Pyrenophora teres f. teres 0-1,Pyrenophora_teres.GCA_000166005.1,571,1040465,0.5487930877
871575,Opar,Ogataea parapolymorpha DL-1,Ogataea_parapolymorpha_dl_1.Hansenula_2,4,897536,0.00445664575
876142,Eint,Encephalitozoon intestinalis ATCC 50506,Encephalitozoon_intestinalis_atcc_50506.ASM14646v1,0,206327,0
907965,Ehel,Encephalitozoon hellem ATCC 50504,Encephalitozoon_hellem_atcc_50504.ASM27781v3,0,210259,0
911162,Osin,Ophiocordyceps sinensis CO18,Ophiocordyceps_sinensis_co18.ASM44836v1,409,769427,0.5315643979
914234,Gsub,Gelatoporia subvermispora B,Gelatoporia_subvermispora_b.Ceriporiopsis_subvermispora_B_v1_0,3196,950567,3.362203822
930090,Bory,Bipolaris oryzae ATCC 44560,Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1_0,580,1008256,0.57525073
930990,Bbot,Botryobasidium botryosum FD-172 SS1,Botryobasidium_botryosum_fd_172_ss1.Botbo1,3819,977101,3.908500759
933084,Jarg,Jaapia argillacea MUCL 33604,Jaapia_argillacea_mucl_33604.Jaaar1,3427,1001167,3.423005353
933388,Poxa,Penicillium oxalicum 114-2,Penicillium_oxalicum_114_2.pde_v1.0,616,1027523,0.5994999625
936046,Abis,Agaricus bisporus var. bisporus H97,Agaricus_bisporus_var_bisporus_h97.Agabi_varbisH97_2,3205,955135,3.355546598
936435,Slac,Serpula lacrymans var. lacrymans S7.3,Serpula_lacrymans_var_lacrymans_s7_3.v1.0,3343,927011,3.60621395
944289,Glux,Gymnopus luxurians FD-317 M1,Gymnopus_luxurians_fd_317_m1.Gymlu1,1816,513275,3.53806439
945553,Hsub,Hypholoma sublateritium FD-334 SS-4,Hypholoma_sublateritium_fd_334_ss_4.Hypsu1,3221,979881,3.287133846
946122,Amus,Amanita muscaria Koide BX008,Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1_0,3280,976536,3.358811145
948595,Vcul,Vavraia culicis subsp. floridensis,Vavraia_culicis_subsp_floridensis.Vavr_culi_floridensis_V1,1,154218,0.006484327381
983644,Cmil,Cordyceps militaris CM01,Cordyceps_militaris_cm01.CmilitarisCM01_v01,357,1033451,0.3454445349
985895,Lmac,Leptosphaeria maculans JN3,Leptosphaeria_maculans.ASM23037v1,580,1050166,0.5522936374
988480,Rall,Rozella allomycis CSF55,Rozella_allomycis_csf55.Rozella_k41_t100,1422,547178,2.598788694
990650,Sste,Sphaerobolus stellatus SS14,Sphaerobolus_stellatus_ss14.Sphst1,2028,478612,4.237252722
993615,Vcor,Vittaforma corneae ATCC 50505,Vittaforma_corneae_atcc_50505.Vitt_corn_V1,0,130804,0
994086,Hpin,Hydnomerulius pinastri MD-312,Hydnomerulius_pinastri_md_312.Hydpi2,1566,484145,3.234568156
999809,Srei,Sporisorium reilianum SRZ2,Sporisorium_reilianum.GCA_000230245.1,93,1134503,0.08197422131
1003232,Eaed,Edhazardia aedis USNM 41457,Edhazardia_aedis_usnm_41457.Edha_aedis_V4b,1,175034,0.005713175726
1016849,Esid,Exophiala sideris,Exophiala_sideris.Exop_side_CBS121828_V1,357,1035852,0.3446438294
1034331,Egos,Eremothecium gossypii FDAG1,Ashbya_gossypii_fdag1.ASM96883v1,2,918478,0.002177515411
1036808,Scit,Scleroderma citrinum Foug A,Scleroderma_citrinum_foug_a.Scleroderma_citrinum_Foug_A_v1_0,3280,966355,3.394197784
1037528,Napi,Nosema apis BRL 01,Nosema_apis_brl_01.NapisBRLv01,3,87421,0.03431669736
1037660,Tano,Tilletiaria anomala UBC 951,Tilletiaria_anomala_ubc_951.Tilletiaria_anomala_UBC_951_v1_0,1413,1044611,1.352656635
1041607,Wcif,Wickerhamomyces ciferrii,Wickerhamomyces_ciferrii.ASM31348v1,25,953772,0.02621171517
1043002,Apul,Aureobasidium pullulans EXF-150,Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var_pullulans_EXF-150_assembly_version_1_0,476,1002275,0.474919558
1043627,Hminn,Hirsutella minnesotensis 3608,Hirsutella_minnesotensis_3608.ASM95604v1,314,624763,0.5025905823
1043628,Dste,Drechslerella stenobrocha 248,Drechslerella_stenobrocha_248.DREv1,966,714288,1.352395672
1047168,Zbre,Zymoseptoria brevis,Zymoseptoria_brevis.ASM96659v1,331,1045597,0.3165655602
1051891,Tcal,Tulasnella calospora MUT 4182,Tulasnella_calospora_mut_4182.Tulasnella_calospora_AL13_4D_v1_0,3219,868612,3.705912421
1069201,Aluc,Aspergillus luchuensis,Aspergillus_luchuensis.AspL_2604,564,1000030,0.5639830805
1069680,Pmur,Pneumocystis murina B123,Pneumocystis_murina_b123.Pneumo_murina_B123_V4,2470,716481,3.447404746
1071380,Tbla,Tetrapisispora blattae CBS 6284,Tetrapisispora_blattae_cbs_6284.ASM31591v1,1,951741,0.001050706022
1072389,Mbru,Marssonina brunnea f. sp. 'multigermtubi' MB_m1,Marssonina_brunnea_f_sp_multigermtubi_mb_m1.ASM29877v1,621,1073446,0.5785107029
1076935,Pomp,Pyronema omphalodes CBS 100304,Pyronema_omphalodes_cbs_100304.Pcon_v1,969,1014762,0.9549037114
1086054,Rsol,Rhizoctonia solani AG-3 Rhs1AP,Rhizoctonia_solani_ag_3_rhs1ap.Rhizoctonia_solani_AG-3,3439,970134,3.544871121
1089452,Foxy,Fusarium oxysporum f. sp. melonis 26406,Fusarium_oxysporum_f_sp_melonis_26406.FO_melonis_V1,468,1031409,0.4537482221
1095629,Lame,Laccaria amethystina LaAM-08-1,Laccaria_amethystina_laam_08_1.Laccaria_amethystina_LaAM-08-1_v1_0,3365,988182,3.405243164
1111077,Cpur,Claviceps purpurea 20.1,Claviceps_purpurea_20_1.ASM34735v1,464,1021717,0.454137496
1116229,Gloz,Glarea lozoyensis ATCC 20868,Glarea_lozoyensis_atcc_20868.GLAREA,534,1045450,0.5107848295
1124627,Bbru,Brettanomyces bruxellensis AWRI1499,Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0,16,558088,0.0286693138
1126212,Mpha,Macrophomina phaseolina MS6,Macrophomina_phaseolina_ms6.MphMS6_1.0,595,997295,0.5966138404
1128425,Fhep,Fistulina hepatica ATCC 64428,Fistulina_hepatica_atcc_64428.Fishe1,2618,728445,3.593956991
1130832,Rtor,Rhodotorula toruloides NP11,Rhodotorula_toruloides_np11.RHOziaDV1.0,3558,1051498,3.383743954
1137138,Post,Pleurotus ostreatus PC15,Pleurotus_ostreatus_pc15.PleosPC15_2,3242,926008,3.501049667
1159556,Uvir,Ustilaginoidea virens,Ustilaginoidea_virens.Assembly_for_version_1_of_the_Villosiclava_virens_genome,430,1014023,0.4240534978
1160507,Sarb,Saccharomyces arboricola H-6,Saccharomyces_arboricola_h_6.SacArb1.0,0,705134,0
1163406,Toph,Tolypocladium ophioglossoides CBS 100239,Tolypocladium_ophioglossoides_cbs_100239.Tophv1.0,461,1045957,0.440744696
1165861,Pstr,Puccinia striiformis f. sp. tritici PST-78,Puccinia_striiformis_f_sp_tritici_pst_78.P_striiformis_V1,2939,1031094,2.850370577
1168221,Capo,Coniosporium apollinis CBS 100218,Coniosporium_apollinis_cbs_100218.Coni_apol_CBS100218__V1,677,1038348,0.651997211
1173061,Gcan,Geotrichum candidum,Geotrichum_candidum.New2.3_08062011,149,971036,0.1534443625
1173701,Ssub,Colletotrichum sublineola,Colletotrichum_sublineola.ASM69613v1,507,1025851,0.49422382
1178016,Erom,Encephalitozoon romaleae SJ-2008,Encephalitozoon_romaleae_sj_2008.ASM28003v2,0,202802,0
1182541,Capcor,Capronia coronata CBS 617.96,Capronia_coronata_cbs_617_96.Capr_coro_CBS_617_96_V1,343,1040035,0.3297965934
1182542,Cepi,Capronia epimyces CBS 606.96,Capronia_epimyces_cbs_606_96.Capr_epim_CBS_606_96_V1,338,1036679,0.3260411371
1182543,Cpsa,Cladophialophora psammophila CBS 110553,Cladophialophora_psammophila_cbs_110553.Clad_psam_CBS_110553_V1,358,1039086,0.3445335612
1182545,Eaqu,Exophiala aquamarina CBS 119918,Exophiala_aquamarina_cbs_119918.Exop_aqua_CBS_119918_V1,322,1027150,0.3134887796
1209931,Csal,Colletotrichum salicis,Colletotrichum_salicis.CSAL01,497,1040665,0.4775792402
1213857,Corb,Colletotrichum orbiculare MAFF 240422,Colletotrichum_orbiculare.GCA_000350065.1,534,1035464,0.5157108311
1213859,Cfru,Colletotrichum fructicola Nara gc5,Colletotrichum_gloeosporioides.GCA_000319635.1,554,997059,0.5556341199
1214573,Damp,Diaporthe ampelina,Diaporthe_ampelina.UCDDA912v1.0,530,929140,0.5704199582
1215334,Trub,Trichophyton rubrum CBS 202.88,Trichophyton_rubrum_cbs_202_88.Tric_raub_CBS_202_88_V2,585,960696,0.6089335232
1220162,Tasa,Trichosporon asahii var. asahii CBS 8904,Trichosporon_asahii_var_asahii_cbs_8904.ASM29921v2,854,969004,0.8813173114
1220924,Ceur,Cyphellophora europaea CBS 101466,Cyphellophora_europaea_cbs_101466.Phia_euro_CBS_101466_V1,316,1028859,0.307136352
1220926,Mcir,Mucor circinelloides f. circinelloides 1006PhL,Mucor_circinelloides_f_circinelloides_1006phl.Muco_sp_1006Ph_V1,1701,911621,1.865906994
1229662,Pfic,Pestalotiopsis fici W106-1,Pestalotiopsis_fici_w106_1.PFICI,427,1020438,0.4184477646
1230383,Msym,Malassezia sympodialis ATCC 42132,Malassezia_sympodialis_atcc_42132.ASM34930v2,184,758227,0.24267139
